"repeticao","proporcao_pool","n_treino","n_validacao","correlacao","RMSE","MAE","slope_calibracao"
1,0.25,275,276,0.468664154985025,561.065572990222,436.930588748815,1.06318440847515
1,0.5,551,276,0.588969957739108,513.56917449215,404.325018806587,1.01715303831188
1,0.75,827,276,0.630413225401395,493.099374562298,389.872190278881,1.04050015991569
1,1,1103,276,0.670939810322997,470.907101055234,378.154280672407,1.03502856157605
2,0.25,275,276,0.457934027579389,545.710081311571,433.185292107389,0.865231794347235
2,0.5,551,276,0.61417303759692,482.904660711981,382.731377518827,1.05411252669512
2,0.75,827,276,0.664591677443444,457.363943758261,361.500571639502,1.05921304987738
2,1,1103,276,0.689990279761406,442.964961460266,347.099615846748,1.06166301959578
3,0.25,275,276,0.613333749484436,485.998034782431,394.509750891441,0.964362313985173
3,0.5,551,276,0.690971610688223,444.710577947954,357.090378290635,1.04610610752608
3,0.75,827,276,0.708844559296181,436.291364307688,350.03862752551,1.10537466931587
3,1,1103,276,0.718596116143472,428.949611048434,345.888645789723,1.09404365501876
4,0.25,275,276,0.600289046763092,532.706362641007,422.879340002847,1.15706199818786
4,0.5,551,276,0.661599433533319,497.606079351691,395.151154570737,1.08718234898647
4,0.75,827,276,0.678059051275712,489.321748108972,386.260098372515,1.03977448051763
4,1,1103,276,0.691030003709627,480.924748104026,377.393236648298,1.06198574003929
5,0.25,275,276,0.527731464524267,545.100490592626,450.233426092206,1.0439743526401
5,0.5,551,276,0.618689374779504,502.581911892002,412.86703971277,1.05637174943895
5,0.75,827,276,0.623950878157769,499.589434438586,408.339505834686,0.975360722528829
5,1,1103,276,0.651415187876915,484.983331094728,397.04530669194,0.974229028089463
6,0.25,275,276,0.521580505483114,505.453263359516,400.1746286997,1.03895694433922
6,0.5,551,276,0.606462047767919,471.660564413412,366.425343996168,0.934897202764607
6,0.75,827,276,0.635329347690794,458.0594645942,359.314494891821,0.937393321433791
6,1,1103,276,0.645737999462622,452.466191287172,357.631439031293,0.963013680974552
7,0.25,275,276,0.544178020664111,542.649079733451,426.098627771304,0.904718904767686
7,0.5,551,276,0.580192543141244,525.215394712079,412.783509426449,1.01353262166559
7,0.75,827,276,0.660908220402667,484.507842972283,390.407406958752,1.07040949190576
7,1,1103,276,0.693383483310808,465.460890643069,378.537713704096,1.07734774065175
8,0.25,275,276,0.515946249302563,537.041199828953,434.217349299036,0.88237606405635
8,0.5,551,276,0.587869708385071,505.845822496667,402.222739078128,1.0084756210467
8,0.75,827,276,0.650872209397041,475.398302462701,381.684545518121,1.08012059766911
8,1,1103,276,0.685068975990985,457.380162218595,366.766125220844,1.10265282494031
9,0.25,275,276,0.50096321976925,523.989145989173,430.6750238594,0.798751071405049
9,0.5,551,276,0.567038947309871,494.021948844626,405.539385802828,0.92636055975595
9,0.75,827,276,0.611475516449578,475.330580997284,383.083641646046,0.907539899346694
9,1,1103,276,0.638458746899004,462.100061821484,371.902920142372,0.919420614540762
10,0.25,275,276,0.47791664894879,542.774312672926,421.956955442389,0.846221699976384
10,0.5,551,276,0.55814215330914,511.193543322078,398.42233582378,0.921807802586754
10,0.75,827,276,0.623857210444573,480.63127086151,379.015752777445,1.0025106306823
10,1,1103,276,0.633015605215509,476.385297684653,379.273964760982,0.953116330894188
11,0.25,275,276,0.531969570273923,547.602794604236,434.370514934642,0.918226471122663
11,0.5,551,276,0.642698462654243,492.379884552852,389.11984624289,1.09542192774638
11,0.75,827,276,0.691425363505866,464.69961080263,365.642561363123,1.09404090223443
11,1,1103,276,0.702624460427761,457.543335712224,360.892944383046,1.0869365074654
12,0.25,275,276,0.527943875457799,521.42208471471,408.970640844327,0.968875267913675
12,0.5,551,276,0.608003899052336,487.0675315948,389.221102101503,1.00802107147988
12,0.75,827,276,0.629644357904976,474.989949440758,370.105384045152,0.998180445789001
12,1,1103,276,0.645169864980499,467.819448184651,361.572488744579,0.939143810732668
13,0.25,275,276,0.577057209733128,509.070089384354,400.424889805473,1.07041639603654
13,0.5,551,276,0.658337712628491,467.755937271211,367.927556773494,1.04005506186237
13,0.75,827,276,0.690501679856725,449.340376565806,353.548452569795,1.0365893171424
13,1,1103,276,0.687497458720973,451.159542932138,356.618172419374,1.01831301172876
14,0.25,275,276,0.485566186477041,541.303436265807,437.197954303344,0.841039294624368
14,0.5,551,276,0.602166529579632,490.068383963839,398.156136020651,0.914473226870861
14,0.75,827,276,0.629737516139268,476.702263145546,376.737898380815,0.915694090688197
14,1,1103,276,0.656057698832555,463.231207680417,368.457305555104,0.91881999718921
15,0.25,275,276,0.485172418513198,529.767916710538,432.07002840525,0.894980665649122
15,0.5,551,276,0.580803000755583,491.986333860943,395.886821567714,0.9438718415333
15,0.75,827,276,0.608171805362594,479.668465086672,388.651652336544,0.943061665688851
15,1,1103,276,0.620097906543215,474.994916444383,385.903602105781,0.899273204036878
16,0.25,275,276,0.622997381154438,496.665452090735,405.61329911628,1.117447455658
16,0.5,551,276,0.659445057715517,473.810076511375,383.625297836978,1.11783124643518
16,0.75,827,276,0.693079976774751,455.006035561384,361.124914464328,1.12149912916199
16,1,1103,276,0.695019812523049,451.906827653815,353.848541878763,1.04937143431001
17,0.25,275,276,0.588516651152131,519.173264809018,415.317383648782,1.19226966720453
17,0.5,551,276,0.649515608676037,489.012699725385,386.560334786974,1.1689882199169
17,0.75,827,276,0.662573691707957,478.460451747938,376.286821851314,1.06642469254552
17,1,1103,276,0.677560923597751,470.456529680621,367.327623677277,1.07323502714872
18,0.25,275,276,0.525448232889869,509.880479478935,411.529232538254,0.833252440773331
18,0.5,551,276,0.591018310243184,485.031854399134,393.755350465904,0.843587279245919
18,0.75,827,276,0.621729650190979,470.113384313154,386.206086501285,0.85890457975984
18,1,1103,276,0.651755401702106,453.877557132873,370.496771437676,0.904004741861772
19,0.25,275,276,0.557740700866358,512.562868804354,402.191050565255,0.953353403699511
19,0.5,551,276,0.611469535011099,488.418829354444,385.706317654255,0.948145486647804
19,0.75,827,276,0.641077242801463,473.168406697803,370.056674302884,1.00029379540139
19,1,1103,276,0.653375554679905,467.293969029049,365.753037137822,0.960610144806013
20,0.25,275,276,0.577575179906062,519.148616091962,399.591441422441,1.06562787590419
20,0.5,551,276,0.636730946273127,491.131631522957,372.097220634615,1.041575137717
20,0.75,827,276,0.648669368431532,486.433997810224,368.891989879491,1.02189718376712
20,1,1103,276,0.661658183439776,478.596108535572,365.725114821971,1.03283155620091
