proporcao_pool,n_train_efetivo,mean_delta_cor,sd_delta_cor,se_NB,ic90_inf,ic90_sup,p_inferior,p_superior,p_TOST,equivalente
0.25,275,-0.13201191,0.03527157334076063,0.035917645944583694,-0.19304055295390343,-0.07098326704609659,0.9850383841424926,1.0513861618692402e-05,0.9850383841424926,False
0.5,551,-0.05079472666666666,0.020550763563261035,0.015020918104619382,-0.07631717458157176,-0.02527227875176155,0.5209160002860589,1.1583246343200553e-07,0.5209160002860589,False
0.75,827,-0.01728736666666666,0.010607247824607658,0.00642653684563412,-0.028206869108096923,-0.006367864225236398,9.8691505729942e-06,1.1516671557551153e-11,9.8691505729942e-06,True
