proporcao_pool,n_treino,mean_cor,sd_cor,mean_RMSE,sd_RMSE,mean_MAE,sd_MAE,mean_slope,sd_slope
0.25,275,0.5334756033333333,0.04704287636011891,526.8246033333334,19.0811202958621,417.0342733333334,14.830535425866618,0.9590288166666666,0.14702448370664287
0.5,551,0.6146927866666666,0.03862668664498886,489.88629000000003,18.01715551043332,388.54330666666664,15.58591042094138,1.0212595,0.10593230006523849
0.75,827,0.6482001466666667,0.031908830737335955,472.35469,15.542712844318103,374.13878666666665,13.770082557505082,1.0039215533333334,0.07731495184606803
1.0,1103,0.6654875133333333,0.030011634957609078,462.86979333333335,15.7102265764941,366.7297633333334,14.509905173897787,1.00537559,0.0640444619022428
